look_id,reason,logged
fendi|SS2019|007,image download failed,2026-07-03
gucci|SS2019|007,image download failed,2026-07-03
hermes|SS2019|007,image download failed,2026-07-03
loewe|SS2019|007,image download failed,2026-07-03
miu-miu|SS2019|007,image download failed,2026-07-03
prada|SS2019|007,image download failed,2026-07-03
saint-laurent|SS2019|007,image download failed,2026-07-03
salvatore-ferragamo|SS2019|007,image download failed,2026-07-03
tods|SS2019|007,image download failed,2026-07-03
valentino|SS2019|007,image download failed,2026-07-03
versace|SS2019|007,image download failed,2026-07-03
balenciaga|SS2020|007,image download failed,2026-07-03
bottega-veneta|SS2020|007,image download failed,2026-07-03
brunello-cucinelli|SS2020|007,image download failed,2026-07-03
burberry|SS2020|007,image download failed,2026-07-03
celine|SS2020|007,image download failed,2026-07-03
chloe|SS2020|007,image download failed,2026-07-03
christian-dior|SS2020|007,image download failed,2026-07-03
fendi|SS2020|007,image download failed,2026-07-03
gucci|SS2020|007,image download failed,2026-07-03
hermes|SS2020|007,image download failed,2026-07-03
loewe|SS2020|007,image download failed,2026-07-03
louis-vuitton|SS2020|007,image download failed,2026-07-03
miu-miu|SS2020|007,image download failed,2026-07-03
prada|SS2020|007,image download failed,2026-07-03
saint-laurent|SS2020|007,image download failed,2026-07-03
salvatore-ferragamo|SS2020|007,image download failed,2026-07-03
tods|SS2020|007,image download failed,2026-07-03
valentino|SS2020|007,image download failed,2026-07-03
versace|SS2020|007,image download failed,2026-07-03
alexander-mcqueen|SS2021|024,image download failed,2026-07-03
balenciaga|SS2021|007,image download failed,2026-07-03
bottega-veneta|SS2021|007,image download failed,2026-07-03
brunello-cucinelli|SS2021|007,image download failed,2026-07-03
burberry|SS2021|007,image download failed,2026-07-03
chloe|SS2021|007,image download failed,2026-07-03
christian-dior|SS2021|007,image download failed,2026-07-03
fendi|SS2021|007,image download failed,2026-07-03
gucci|SS2021|007,image download failed,2026-07-03
hermes|SS2021|007,image download failed,2026-07-03
loewe|SS2021|007,image download failed,2026-07-03
louis-vuitton|SS2021|007,image download failed,2026-07-03
miu-miu|SS2021|007,image download failed,2026-07-03
prada|SS2021|007,image download failed,2026-07-03
saint-laurent|SS2021|007,image download failed,2026-07-03
salvatore-ferragamo|SS2021|007,image download failed,2026-07-03
tods|SS2021|007,image download failed,2026-07-03
valentino|SS2021|007,image download failed,2026-07-03
versace|SS2021|007,image download failed,2026-07-03
alexander-mcqueen|SS2022|006,image download failed,2026-07-03
balenciaga|SS2022|006,image download failed,2026-07-03
bottega-veneta|SS2022|005,image download failed,2026-07-03
brunello-cucinelli|SS2022|005,image download failed,2026-07-03
chloe|SS2022|005,image download failed,2026-07-03
christian-dior|SS2022|005,image download failed,2026-07-03
fendi|SS2022|005,image download failed,2026-07-03
gucci|SS2022|005,image download failed,2026-07-03
hermes|SS2022|005,image download failed,2026-07-03
loewe|SS2022|005,image download failed,2026-07-03
louis-vuitton|SS2022|005,image download failed,2026-07-03
miu-miu|SS2022|005,image download failed,2026-07-03
prada|SS2022|005,image download failed,2026-07-03
saint-laurent|SS2022|005,image download failed,2026-07-03
salvatore-ferragamo|SS2022|005,image download failed,2026-07-03
tods|SS2022|005,image download failed,2026-07-03
valentino|SS2022|005,image download failed,2026-07-03
versace|SS2022|005,image download failed,2026-07-03
alexander-mcqueen|SS2023|005,image download failed,2026-07-03
balenciaga|SS2023|005,image download failed,2026-07-03
bottega-veneta|SS2023|005,image download failed,2026-07-03
brunello-cucinelli|SS2023|005,image download failed,2026-07-03
chloe|SS2023|005,image download failed,2026-07-03
christian-dior|SS2023|005,image download failed,2026-07-03
fendi|SS2023|005,image download failed,2026-07-03
gucci|SS2023|005,image download failed,2026-07-03
hermes|SS2023|005,image download failed,2026-07-03
loewe|SS2023|005,image download failed,2026-07-03
louis-vuitton|SS2023|005,image download failed,2026-07-03
miu-miu|SS2023|005,image download failed,2026-07-03
prada|SS2023|005,image download failed,2026-07-03
ralph-lauren|SS2023|005,image download failed,2026-07-03
saint-laurent|SS2023|005,image download failed,2026-07-03
salvatore-ferragamo|SS2023|005,image download failed,2026-07-03
tods|SS2023|005,image download failed,2026-07-03
valentino|SS2023|005,image download failed,2026-07-03
versace|SS2023|005,image download failed,2026-07-03
alexander-mcqueen|SS2024|005,image download failed,2026-07-03
balenciaga|SS2024|005,image download failed,2026-07-03
bottega-veneta|SS2024|005,image download failed,2026-07-03
brunello-cucinelli|SS2024|005,image download failed,2026-07-03
burberry|SS2024|005,image download failed,2026-07-03
chloe|SS2024|005,image download failed,2026-07-03
christian-dior|SS2024|005,image download failed,2026-07-03
fendi|SS2024|005,image download failed,2026-07-03
gucci|SS2024|005,image download failed,2026-07-03
hermes|SS2024|005,image download failed,2026-07-03
loewe|SS2024|005,image download failed,2026-07-03
louis-vuitton|SS2024|005,image download failed,2026-07-03
miu-miu|SS2024|005,image download failed,2026-07-03
prada|SS2024|005,image download failed,2026-07-03
ralph-lauren|SS2024|005,image download failed,2026-07-03
saint-laurent|SS2024|005,image download failed,2026-07-03
salvatore-ferragamo|SS2024|005,image download failed,2026-07-03
tods|SS2024|005,image download failed,2026-07-03
valentino|SS2024|005,image download failed,2026-07-03
versace|SS2024|005,image download failed,2026-07-03
alexander-mcqueen|SS2025|005,image download failed,2026-07-03
balenciaga|SS2025|005,image download failed,2026-07-03
bottega-veneta|SS2025|005,image download failed,2026-07-03
burberry|SS2025|005,image download failed,2026-07-03
chloe|SS2025|005,image download failed,2026-07-03
christian-dior|SS2025|005,image download failed,2026-07-03
fendi|SS2025|005,image download failed,2026-07-03
gucci|SS2025|005,image download failed,2026-07-03
hermes|SS2025|005,image download failed,2026-07-03
loewe|SS2025|005,image download failed,2026-07-03
miu-miu|SS2025|005,image download failed,2026-07-03
prada|SS2025|005,image download failed,2026-07-03
ralph-lauren|SS2025|005,image download failed,2026-07-03
saint-laurent|SS2025|005,image download failed,2026-07-03
salvatore-ferragamo|SS2025|005,image download failed,2026-07-03
tods|SS2025|005,image download failed,2026-07-03
valentino|SS2025|005,image download failed,2026-07-03
versace|SS2025|005,image download failed,2026-07-03
alexander-mcqueen|SS2026|005,image download failed,2026-07-03
balenciaga|SS2026|005,image download failed,2026-07-03
bottega-veneta|SS2026|005,image download failed,2026-07-03
celine|SS2026|005,image download failed,2026-07-03
chloe|SS2026|005,image download failed,2026-07-03
christian-dior|SS2026|005,image download failed,2026-07-03
fendi|SS2026|005,image download failed,2026-07-03
gucci|SS2026|005,image download failed,2026-07-03
hermes|SS2026|005,image download failed,2026-07-03
loewe|SS2026|005,image download failed,2026-07-03
louis-vuitton|SS2026|005,image download failed,2026-07-03
miu-miu|SS2026|005,image download failed,2026-07-03
prada|SS2026|005,image download failed,2026-07-03
saint-laurent|SS2026|005,image download failed,2026-07-03
salvatore-ferragamo|SS2026|005,image download failed,2026-07-03
tods|SS2026|005,image download failed,2026-07-03
valentino|SS2026|005,image download failed,2026-07-03
versace|SS2026|005,image download failed,2026-07-03
balenciaga|FW2015|008,image download failed,2026-07-03
bottega-veneta|FW2015|008,image download failed,2026-07-03
brunello-cucinelli|FW2015|008,image download failed,2026-07-03
burberry|FW2015|008,image download failed,2026-07-03
celine|FW2015|027,image download failed,2026-07-03
chloe|FW2015|008,image download failed,2026-07-03
christian-dior|FW2015|008,image download failed,2026-07-03
fendi|FW2015|008,image download failed,2026-07-03
gucci|FW2015|008,image download failed,2026-07-03
hermes|FW2015|008,image download failed,2026-07-03
loewe|FW2015|008,image download failed,2026-07-03
louis-vuitton|FW2015|008,image download failed,2026-07-03
miu-miu|FW2015|008,image download failed,2026-07-03
moncler|FW2015|008,image download failed,2026-07-03
prada|FW2015|008,image download failed,2026-07-03
ralph-lauren|FW2015|008,image download failed,2026-07-03
saint-laurent|FW2015|008,image download failed,2026-07-03
salvatore-ferragamo|FW2015|008,image download failed,2026-07-03
valentino|FW2015|008,image download failed,2026-07-03
balenciaga|FW2016|008,image download failed,2026-07-03
bottega-veneta|FW2016|008,image download failed,2026-07-03
brunello-cucinelli|FW2016|008,image download failed,2026-07-03
burberry|FW2016|008,image download failed,2026-07-03
celine|FW2016|008,image download failed,2026-07-03
chloe|FW2016|008,image download failed,2026-07-03
christian-dior|FW2016|008,image download failed,2026-07-03
fendi|FW2016|008,image download failed,2026-07-03
gucci|FW2016|008,image download failed,2026-07-03
hermes|FW2016|008,image download failed,2026-07-03
loewe|FW2016|008,image download failed,2026-07-03
louis-vuitton|FW2016|008,image download failed,2026-07-03
miu-miu|FW2016|008,image download failed,2026-07-03
moncler|FW2016|008,image download failed,2026-07-03
prada|FW2016|008,image download failed,2026-07-03
ralph-lauren|FW2016|008,image download failed,2026-07-03
saint-laurent|FW2016|008,image download failed,2026-07-03
tods|FW2016|008,image download failed,2026-07-03
valentino|FW2016|008,image download failed,2026-07-03
versace|FW2016|008,image download failed,2026-07-03
balenciaga|FW2017|008,image download failed,2026-07-03
bottega-veneta|FW2017|008,image download failed,2026-07-03
brunello-cucinelli|FW2017|008,image download failed,2026-07-03
burberry|FW2017|008,image download failed,2026-07-03
celine|FW2017|008,image download failed,2026-07-03
chloe|FW2017|008,image download failed,2026-07-03
christian-dior|FW2017|008,image download failed,2026-07-03
fendi|FW2017|008,image download failed,2026-07-03
gucci|FW2017|008,image download failed,2026-07-03
hermes|FW2017|008,image download failed,2026-07-03
loewe|FW2017|008,image download failed,2026-07-03
louis-vuitton|FW2017|008,image download failed,2026-07-03
miu-miu|FW2017|008,image download failed,2026-07-03
moncler|FW2017|008,image download failed,2026-07-03
prada|FW2017|008,image download failed,2026-07-03
ralph-lauren|FW2017|008,image download failed,2026-07-03
saint-laurent|FW2017|008,image download failed,2026-07-03
salvatore-ferragamo|FW2017|008,image download failed,2026-07-03
tods|FW2017|008,image download failed,2026-07-03
valentino|FW2017|008,image download failed,2026-07-03
versace|FW2017|008,image download failed,2026-07-03
balenciaga|FW2018|008,image download failed,2026-07-03
bottega-veneta|FW2018|008,image download failed,2026-07-03
burberry|FW2018|008,image download failed,2026-07-03
celine|FW2018|008,image download failed,2026-07-03
chloe|FW2018|008,image download failed,2026-07-03
christian-dior|FW2018|008,image download failed,2026-07-03
fendi|FW2018|008,image download failed,2026-07-03
gucci|FW2018|008,image download failed,2026-07-03
hermes|FW2018|008,image download failed,2026-07-03
loewe|FW2018|008,image download failed,2026-07-03
louis-vuitton|FW2018|008,image download failed,2026-07-03
miu-miu|FW2018|008,image download failed,2026-07-03
prada|FW2018|008,image download failed,2026-07-03
ralph-lauren|FW2018|008,image download failed,2026-07-03
saint-laurent|FW2018|008,image download failed,2026-07-03
salvatore-ferragamo|FW2018|008,image download failed,2026-07-03
tods|FW2018|008,image download failed,2026-07-03
valentino|FW2018|008,image download failed,2026-07-03
versace|FW2018|008,image download failed,2026-07-03
balenciaga|FW2019|008,image download failed,2026-07-03
bottega-veneta|FW2019|008,image download failed,2026-07-03
brunello-cucinelli|FW2019|008,image download failed,2026-07-03
burberry|FW2019|008,image download failed,2026-07-03
celine|FW2019|008,image download failed,2026-07-03
chloe|FW2019|008,image download failed,2026-07-03
christian-dior|FW2019|008,image download failed,2026-07-03
fendi|FW2019|008,image download failed,2026-07-03
gucci|FW2019|008,image download failed,2026-07-03
hermes|FW2019|008,image download failed,2026-07-03
loewe|FW2019|008,image download failed,2026-07-03
louis-vuitton|FW2019|008,image download failed,2026-07-03
miu-miu|FW2019|008,image download failed,2026-07-03
prada|FW2019|008,image download failed,2026-07-03
saint-laurent|FW2019|008,image download failed,2026-07-03
salvatore-ferragamo|FW2019|008,image download failed,2026-07-03
tods|FW2019|008,image download failed,2026-07-03
valentino|FW2019|008,image download failed,2026-07-03
versace|FW2019|008,image download failed,2026-07-03
balenciaga|FW2020|008,image download failed,2026-07-03
bottega-veneta|FW2020|008,image download failed,2026-07-03
brunello-cucinelli|FW2020|008,image download failed,2026-07-03
burberry|FW2020|008,image download failed,2026-07-03
celine|FW2020|008,image download failed,2026-07-03
chloe|FW2020|008,image download failed,2026-07-03
christian-dior|FW2020|008,image download failed,2026-07-03
fendi|FW2020|008,image download failed,2026-07-03
gucci|FW2020|008,image download failed,2026-07-03
hermes|FW2020|008,image download failed,2026-07-03
loewe|FW2020|008,image download failed,2026-07-03
louis-vuitton|FW2020|008,image download failed,2026-07-03
miu-miu|FW2020|008,image download failed,2026-07-03
prada|FW2020|008,image download failed,2026-07-03
ralph-lauren|FW2020|008,image download failed,2026-07-03
saint-laurent|FW2020|008,image download failed,2026-07-03
salvatore-ferragamo|FW2020|008,image download failed,2026-07-03
tods|FW2020|008,image download failed,2026-07-03
valentino|FW2020|008,image download failed,2026-07-03
versace|FW2020|008,image download failed,2026-07-03
balenciaga|FW2021|008,image download failed,2026-07-03
bottega-veneta|FW2021|008,image download failed,2026-07-03
brunello-cucinelli|FW2021|008,image download failed,2026-07-03
burberry|FW2021|008,image download failed,2026-07-03
celine|FW2021|008,image download failed,2026-07-03
chloe|FW2021|008,image download failed,2026-07-03
christian-dior|FW2021|008,image download failed,2026-07-03
